Begin IJ Block
1   6   10   24   0.0063254467
1   6   10   26   0.0000000001
1   6   10   27   0.0006658578
1   6   10   28   -0.0000000002
1   6   11   18   -0.0013594809
1   6   11   23   -0.0000000000
1   6   11   25   0.0004193313
1   6   12   15   0.0000000000
1   6   12   16   -0.0004005181
1   6   12   17   0.0000000000
1   6   12   19   0.0002706380
1   6   12   20   -0.0000000001
1   6   12   21   0.0009956670
1   6   12   22   0.0000000000
1   6   12   24   0.0000000001
1   6   12   26   0.0001230736
1   6   12   27   0.0000000001
1   6   12   28   0.0002343361
1   6   13   15   0.0007126836
1   6   13   16   0.0000000001
1   6   13   17   -0.0001200787
1   6   13   19   0.0000000002
1   6   13   20   0.0011759547
1   6   13   21   0.0000000001
1   6   13   22   0.0003348247
1   6   13   24   0.0006658578
1   6   13   26   0.0000000001
1   6   13   27   0.0001775190
1   6   13   28   -0.0000000002
1   6   14   15   0.0000000001
1   6   14   16   -0.0007816460
1   6   14   17   0.0000000000
1   6   14   19   0.0005309774
1   6   14   20   -0.0000000001
1   6   14   21   0.0019460450
1   6   14   22   0.0000000000
1   6   14   24   -0.0000000002
1   6   14   26   0.0002343361
1   6   14   27   -0.0000000002
1   6   14   28   0.0004702782
1   7   1   15   0.0004164417
1   7   1   16   -0.0000000000
1   7   1   17   0.0009212996
1   7   1   19   -0.0000000000
1   7   1   20   0.0012131521
1   7   1   21   -0.0000000000
1   7   1   22   0.0001610466
1   7   1   24   -0.0005283017
1   7   1   26   0.0000000000
1   7   1   27   0.0001316477
1   7   1   28   -0.0000000000
1   7   2   15   -0.0000000000
1   7   2   16   0.0011195774
1   7   2   17   0.0000000000
1   7   2   19   -0.0006675762
1   7   2   20   -0.0000000000
1   7   2   21   -0.0025014234
1   7   2   22   -0.0000000000
1   7   2   24   -0.0000000000
1   7   2   26   -0.0002287087
1   7   2   27   -0.0000000000
1   7   2   28   -0.0005048090
1   7   3   15   0.0012100278
1   7   3   16   0.0000000000
1   7   3   17   0.0003218401
1   7   3   19   0.0000000000
1   7   3   20   0.0022542414
1   7   3   21   0.0000000000
1   7   3   22   0.0005262085
1   7   3   24   0.0007160618
1   7   3   26   0.0000000000
1   7   3   27   0.0002752237
1   7   3   28   0.0000000000
1   7   4   18   0.0032871002
1   7   4   23   -0.0000000000
1   7   4   25   -0.0007900953
1   7   5   15   -0.0000000000
1   7   5   16   -0.0007601720
1   7   5   17   0.0000000000
1   7   5   19   0.0004982241
1   7   5   20   -0.0000000000
1   7   5   21   0.0017129786
1   7   5   22   -0.0000000000
1   7   5   24   -0.0000000000
1   7   5   26   0.0002029251
1   7   5   27   -0.0000000000
1   7   5   28   0.0003659896
1   7   6   15   0.0015228102
1   7   6   16   -0.0000000000
1   7   6   17   0.0018127207
1   7   6   19   -0.0000000000
1   7   6   20   0.0036373889
1   7   6   21   0.0000000000
1   7   6   22   0.0006069416
1   7   6   24   -0.0004674754
1   7   6   26   -0.0000000000
1   7   6   27   0.0004478196
1   7   6   28   0.0000000000
1   7   7   15   -0.0000000000
1   7   7   16   -0.0027242653
1   7   7   17   0.0000000000
1   7   7   19   0.0016389729
1   7   7   20   0.0000000000
1   7   7   21   0.0061120509
1   7   7   22   -0.0000000000
1   7   7   24   0.0000000000
1   7   7   26   0.0005745915
1   7   7   27   -0.0000000000
1   7   7   28   0.0012440609
1   7   8   15   0.0002949416
1   7   8   16   -0.0000000000
1   7   8   17   0.0004713610
1   7   8   19   -0.0000000000
1   7   8   20   0.0007431543
1   7   8   21   -0.0000000000
1   7   8   22   0.0001817376
1   7   8   24   -0.0001930995
1   7   8   26   0.0000000000
1   7   8   27   0.0000626174
1   7   8   28   0.0000000000
1   7   9   18   -0.0000000000
1   7   9   23   0.0000607815
1   7   9   25   0.0000000000
1   7   10   15   -0.0007284227
1   7   10   16   0.0000000000
1   7   10   17   0.0004482647
