Begin IJ Block
1   1   -33.0206946530
1   2   -0.5830388792
1   3   -0.0000000000
1   4   -0.1839618474
2   2   -7.8720730580
2   3   0.0000000001
2   4   -0.2146439005
3   3   -6.7658392529
3   4   -0.0000000000
4   4   -6.9062269536
5   5   -7.0346205713

End IJ Block
Begin IA Block
1   1   0.0954181559
1   2   0.0000000000
1   3   0.0951515751
1   5   0.0000000000
1   6   0.1044340224
1   7   0.0000000000
1   8   0.0369236126
1   10   -0.1565661780
1   12   0.0000000000
1   13   -0.0173826419
2   1   0.5108900183
2   2   -0.0000000000
2   3   0.2801814876
2   5   0.0000000000
2   6   0.5825374417
2   7   -0.0000000001
2   8   0.1938697203
2   10   -0.5820680778
2   11   0.0000000000
2   12   -0.0000000002
2   13   -0.0435078686
3   1   -0.0000000000
3   2   -0.5512857511
3   3   0.0000000001
3   5   0.2298196273
3   6   0.0000000001
3   7   1.0728281254
3   8   0.0000000001
3   10   0.0000000003
3   12   -0.0205863271
3   13   0.0000000002
4   1   -0.2918647751
4   2   -0.0000000002
4   3   0.5994371167
4   4   0.0000000000
4   5   -0.0000000001
4   6   -0.7711310765
4   7   -0.0000000002
4   8   -0.1193486964
4   10   -0.2574045924
4   11   0.0000000000
4   12   -0.0000000005
4   13   0.0398536585
5   3   -0.0000000000
5   4   1.0038692133
5   6   0.0000000000
5   9   0.0000000000
5   10   -0.0000000000
5   11   -0.2142763830
5   13   0.0000000000

End IA Block
Begin AB Block
1   1   -2.2881220030
1   2   0.0000000018
1   3   -0.1672238780
1   5   0.0000000009
1   6   -0.7473685954
1   7   0.0000000018
1   8   -0.2370011835
1   10   0.4732695615
1   11   -0.0000000000
1   12   0.0000000076
1   13   -0.0228346406
2   2   -1.9017073826
2   3   0.0000000078
2   5   0.1885453574
2   6   0.0000000027
2   7   0.7904762771
2   8   -0.0000000013
2   10   0.0000000276
2   12   0.0126315058
2   13   0.0000000194
3   3   -2.3260413722
3   5   0.0000000052
3   6   0.0622209320
3   7   0.0000000065
3   8   0.1348181317
3   10   0.2870381387
3   12   0.0000000198
3   13   0.1852788593
4   4   -2.5898140416
4   9   -0.0000000002
4   10   0.0000000000
4   11   0.2306396619
4   12   -0.0000000000
