Begin IJ Block
1   7   6   15   0.0020037672
1   7   6   17   -0.0024934194
1   7   6   20   0.0046953502
1   7   6   22   -0.0014630520
1   7   6   25   -0.0012565927
1   7   6   27   -0.0015476727
1   7   7   16   0.0039057658
1   7   7   18   0.0018729203
1   7   7   21   0.0080749067
1   7   7   26   -0.0012602069
1   7   7   28   -0.0014295598
1   7   8   15   -0.0007116378
1   7   8   17   0.0010435172
1   7   8   20   -0.0016993727
1   7   8   22   0.0006358693
1   7   8   25   0.0006214328
1   7   8   27   0.0006039271
1   7   9   23   0.0000980415
1   7   10   19   0.0014675612
1   7   10   24   0.0004093471
1   7   11   15   -0.0015664821
1   7   11   17   -0.0004452470
1   7   11   20   -0.0022295126
1   7   11   21   0.0000000000
1   7   11   22   0.0009723036
1   7   11   25   -0.0020417215
1   7   11   27   0.0006694078
1   7   11   28   0.0000000000
1   7   12   16   -0.0006418610
1   7   12   18   -0.0002691837
1   7   12   21   -0.0013142608
1   7   12   26   0.0002459202
1   7   12   28   0.0002626032
1   7   13   15   -0.0008077834
1   7   13   17   0.0009057951
1   7   13   20   -0.0017825361
1   7   13   22   0.0006082610
1   7   13   25   0.0003190709
1   7   13   27   0.0006422021
1   7   14   16   -0.0006606963
1   7   14   17   -0.0000000000
1   7   14   18   -0.0002414121
1   7   14   21   -0.0013334395
1   7   14   25   0.0000000000
1   7   14   26   0.0002401928
1   7   14   27   0.0000000000
1   7   14   28   0.0003231127
1   8   1   16   0.0001810491
1   8   1   18   0.0006748888
1   8   1   21   0.0007082240
1   8   1   26   0.0001313607
1   8   1   28   0.0003583944
1   8   2   15   -0.0010035712
1   8   2   17   -0.0004432483
1   8   2   20   -0.0003814584
1   8   2   22   0.0011659930
1   8   2   25   -0.0019847453
1   8   2   27   0.0004902149
1   8   3   16   0.0002530056
1   8   3   18   -0.0005515609
1   8   3   21   0.0003575853
1   8   3   26   -0.0003796185
1   8   3   28   -0.0007164531
1   8   4   15   -0.0005420722
1   8   4   17   -0.0003547931
1   8   4   20   -0.0001563649
1   8   4   22   0.0006262348
1   8   4   25   -0.0011957639
1   8   4   27   0.0001937028
1   8   5   23   -0.0014768692
1   8   6   16   0.0001712986
1   8   6   18   0.0014754779
1   8   6   21   0.0009811322
1   8   6   26   0.0004846964
1   8   6   28   0.0010198923
1   8   7   15   -0.0023116584
1   8   7   17   -0.0010940080
1   8   7   20   -0.0008929578
1   8   7   22   0.0026373506
1   8   7   25   -0.0046022146
1   8   7   27   0.0010807839
1   8   8   16   0.0000141300
1   8   8   18   -0.0005314654
1   8   8   21   -0.0002465914
1   8   8   26   -0.0001516095
1   8   8   28   -0.0004207020
1   8   9   19   -0.0001371088
1   8   9   24   -0.0000011723
1   8   10   23   -0.0003766543
1   8   11   16   0.0003611080
1   8   11   18   -0.0000792658
1   8   11   21   0.0008852429
1   8   11   26   -0.0003146626
1   8   11   28   -0.0004510858
1   8   12   15   0.0003932139
1   8   12   17   0.0001404175
1   8   12   20   0.0001888257
1   8   12   22   -0.0004250161
1   8   12   25   0.0007218121
1   8   12   27   -0.0002099337
1   8   13   16   0.0000070901
1   8   13   18   -0.0005395218
1   8   13   21   -0.0002312422
1   8   13   26   -0.0001983815
1   8   13   28   -0.0004494212
1   8   14   15   0.0004278404
1   8   14   17   0.0000793641
1   8   14   20   0.0002311756
1   8   14   22   -0.0004805600
1   8   14   25   0.0007175484
1   8   14   27   -0.0002744186
1   9   1   15   0.0005541214
1   9   1   17   0.0012812965
1   9   1   20   -0.0000080121
1   9   1   22   0.0005589421
1   9   1   25   0.0022446354
1   9   1   27   0.0001199428
1   9   2   16   -0.0005689353
1   9   2   18   -0.0011443622
1   9   2   21   -0.0014950159
1   9   2   26   -0.0000561036
1   9   2   28   -0.0005272045
1   9   3   15   -0.0005964842
1   9   3   17   -0.0007545814
1   9   3   20   -0.0004907386
1   9   3   22   -0.0004646954
1   9   3   25   -0.0016475794
1   9   3   27   0.0002160709
1   9   4   16   -0.0004183913
1   9   4   18   -0.0006948649
1   9   4   21   -0.0010205407
1   9   4   26   0.0000340930
1   9   4   28   -0.0002603065
1   9   5   19   -0.0017320100
1   9   5   24   -0.0019501707
1   9   6   15   0.0013713789
1   9   6   17   0.0025849947
1   9   6   20   0.0004316776
1   9   6   22   0.0011862509
1   9   6   25   0.0047970010
1   9   6   27   0.0000495853
1   9   7   16   -0.0013276208
1   9   7   18   -0.0025923949
1   9   7   21   -0.0034720714
1   9   7   26   -0.0000964687
1   9   7   27   -0.0000000000
1   9   7   28   -0.0011680905
1   9   8   15   -0.0004550952
1   9   8   17   -0.0011265365
1   9   8   20   0.0000491393
