Begin IJ Block
1   1   -33.0223531372
1   2   0.5830922565
1   4   -0.1844998003
2   2   -7.8717092513
2   4   0.2180824117
3   3   -6.7578869270
4   4   -6.9092059655
5   5   -7.0428437461

End IJ Block
Begin IA Block
1   1   0.1140767366
1   2   0.0000000000
1   3   0.1003158921
1   4   -0.0000000000
1   6   0.1098007182
1   7   -0.0000000000
1   8   -0.0553755771
1   11   0.2187047111
1   12   -0.0000000000
1   13   0.0264416647
1   14   -0.0000000000
1   15   0.0000000000
2   1   -0.6175374105
2   2   -0.0000000000
2   3   -0.2784659782
2   4   0.0000000000
2   6   -0.6042122812
2   7   0.0000000000
2   8   0.2941143707
2   11   -0.7611845927
2   12   0.0000000000
2   13   -0.1703384676
2   14   -0.0000000000
2   15   -0.0000000000
3   1   0.0000000000
3   2   -0.6918818237
3   3   0.0000000000
3   4   0.2040801677
3   6   0.0000000000
3   7   1.1985775706
3   8   -0.0000000000
3   12   0.2116379661
3   13   0.0000000000
3   14   -0.2764382116
3   15   -0.4193812937
4   1   -0.3437391951
4   2   -0.0000000000
4   3   0.7149057865
4   4   -0.0000000000
4   6   -0.8749324638
4   7   0.0000000000
4   8   0.2779913050
4   11   0.4507883309
4   12   -0.0000000000
4   13   -0.3138813170
4   14   -0.0000000000
4   15   -0.0000000000
5   5   -1.2554408443
5   9   -0.0000000000
5   10   -0.2613112077

End IA Block
Begin AB Block
1   1   -2.5310423860
1   2   -0.0000000000
1   3   -0.1276253360
1   4   0.0000000000
1   6   -0.7833936156
1   7   0.0000000000
1   8   0.3544142398
1   11   -0.5567481923
1   12   0.0000000000
1   13   -0.2250896942
1   14   -0.0000000000
1   15   -0.0000000000
2   2   -2.1302680290
2   3   0.0000000000
2   4   0.2265423316
2   6   0.0000000000
2   7   0.9176694496
2   8   -0.0000000000
2   11   -0.0000000000
2   12   0.1264147068
2   13   0.0000000000
2   14   -0.1647797135
2   15   -0.2358918850
3   3   -2.5359878314
3   4   0.0000000000
3   6   0.0546670108
3   7   -0.0000000000
3   8   -0.1786944413
3   11   -0.3862212745
3   12   0.0000000000
3   13   0.2694442460
3   14   0.0000000000
3   15   0.0000000000
4   4   -2.6596856941
4   6   0.0000000000
4   7   -0.4878932624
4   8   0.0000000000
4   11   0.0000000000
4   12   0.1781659278
4   13   0.0000000000
4   14   -0.3684560135
4   15   0.7940288488
5   5   -3.0156435653
5   9   -0.0000000000
5   10   -0.2777837983
6   6   -3.2459105959
6   7   0.0000000000
6   8   0.1954215109
6   11   -0.0336719654
6   12   0.0000000000
6   13   -0.1877834509
6   14   -0.0000000000
6   15   -0.0000000000
7   7   -3.2180941748
7   8   0.0000000000
7   11   -0.0000000000
7   12   -0.1624922218
7   13   -0.0000000000
7   14   0.1480281688
7   15   1.0507932869
8   8   -2.7464096728
8   11   0.0349004521
8   12   0.0000000000
8   13   0.1751991883
8   14   0.0000000000
8   15   -0.0000000000
9   9   -2.6630140951
10   10   -2.6350591703
11   11   -2.9654765748
11   12   0.0000000000
11   13   -0.1983423289
11   14   -0.0000000000
11   15   0.0000000000
12   12   -2.1875148572
12   13   -0.0000000000
