Single                                                                                                                                                                                                   
                    6             7             8             9            10            11            12            13            14            15            16           17           18           19           20         CCSD         
cc-pVDZ -76.224711219 -76.225122738 -76.226399633 -76.228971680 -76.227783040 -76.228047476 -76.229717942 -76.230936666 -76.231681422 -76.232424346 -76.234308613                                                    -76.240099478
cc-pVTZ -76.324725667 -76.324791109 -76.325341953 -76.326550125 -76.326005097 -76.325118128 -76.325352966 -76.326230709 -76.326674185 -76.327145822 -76.328566537                                                    -76.337993542
cc-pVQZ -76.370056981 -76.370074774 -76.370396693 -76.370060064 -76.370942463 -76.370099079 -76.370224260 -76.370848892 -76.371071648 -76.371355263 -76.372301952                                                    -76.381830508
cc-pV5Z -76.387420539 -76.387421635 -76.387426729 -76.387544669 -76.387277146 -76.387730376 -76.388008928 -76.388111371 -76.388212665 -76.388398012 -76.388893608                                                    -76.397557350
cc-pV6Z                                                                                                                                                                                                              -76.405972541
                                                                                                                                                                                                                    
Double                                                                                                                                                                                                             
                    6             7             8             9            10            11            12            13            14            15            16           17           18           19           20         CCSD         
cc-pVDZ -76.259078942 -76.254018432 -76.253157818 -76.252977857 -76.247148441 -76.237643024 -76.234375625 -76.236405845 -76.238608305 -76.240167109 -76.242213936                                                    -76.240099478
cc-pVTZ -76.356062772 -76.353821335 -76.353186617 -76.354604151 -76.349551469 -76.342468297 -76.343014037 -76.339989213 -76.342619233 -76.344307409 -76.346109108                                                    -76.337993542
cc-pVQZ -76.395483825 -76.394376875 -76.393788035 -76.391237075 -76.390291474 -76.384184626 -76.383911477 -76.381468800 -76.383208476 -76.384020981 -76.386049802                                                    -76.381830508
cc-pV5Z -76.409753837 -76.409202786 -76.407091257 -76.406722139 -76.400619507 -76.399425606 -76.397056015 -76.396568161 -76.397555821 -76.397383827 -76.398473001                                                    -76.397557350
cc-pV6Z -76.417624092 -76.417320110 -76.415354252 -76.409438407 -76.408972986 -76.407316507 -76.405542845 -76.405360106 -76.405902426                                                                                -76.405972541
