Begin IJ Block
1   6   14   16   0.0000000000
1   6   14   17   0.0008677553
1   6   14   19   0.0004916825
1   6   14   21   0.0000000000
1   6   14   22   -0.0020083754
1   6   14   23   0.0000000000
1   6   14   26   -0.0000000000
1   6   14   27   0.0003464481
1   6   14   28   0.0000000000
1   6   14   29   0.0003747180
1   6   14   30   0.0013970665
1   6   15   17   0.0032877254
1   6   15   19   0.0018551358
1   6   15   22   -0.0076131315
1   6   15   26   -0.0000000000
1   6   15   27   0.0013182905
1   6   15   28   -0.0000000000
1   6   15   29   0.0013970665
1   6   15   30   0.0053207328
1   7   1   16   0.0004777680
1   7   1   18   -0.0013181026
1   7   1   19   -0.0000000000
1   7   1   21   0.0015255767
1   7   1   23   0.0004139761
1   7   1   26   -0.0011985838
1   7   1   28   0.0005385027
1   7   1   29   0.0000000000
1   7   2   17   0.0017096230
1   7   2   19   0.0008023716
1   7   2   22   -0.0035137057
1   7   2   27   0.0005509685
1   7   2   28   -0.0000000000
1   7   2   29   0.0006379960
1   7   2   30   0.0018065451
1   7   3   16   -0.0017025135
1   7   3   18   0.0006239890
1   7   3   21   -0.0030176998
1   7   3   22   0.0000000000
1   7   3   23   -0.0011530924
1   7   3   26   -0.0009104403
1   7   3   28   -0.0010034074
1   7   3   29   -0.0000000000
1   7   4   16   -0.0000000000
1   7   4   17   0.0009499302
1   7   4   19   0.0005312769
1   7   4   21   -0.0000000000
1   7   4   22   -0.0019883978
1   7   4   23   -0.0000000000
1   7   4   27   0.0002720633
1   7   4   28   -0.0000000000
1   7   4   29   0.0002835153
1   7   4   30   0.0011657744
1   7   5   20   0.0052687668
1   7   5   25   0.0011522533
1   7   6   16   0.0019888465
1   7   6   18   -0.0025226548
1   7   6   19   -0.0000000000
1   7   6   21   0.0046869081
1   7   6   23   0.0014542850
1   7   6   26   -0.0012916218
1   7   6   28   0.0015531105
1   7   6   29   0.0000000000
1   7   7   17   -0.0039092730
1   7   7   19   -0.0018706244
1   7   7   22   0.0080666140
1   7   7   26   -0.0000000000
1   7   7   27   -0.0012526061
1   7   7   28   0.0000000000
1   7   7   29   -0.0014283765
1   7   7   30   -0.0042215807
1   7   8   16   0.0007061743
1   7   8   18   -0.0010558088
1   7   8   19   -0.0000000000
1   7   8   21   0.0016968841
1   7   8   23   0.0006313573
1   7   8   26   -0.0006362380
1   7   8   28   0.0006045774
1   7   8   29   0.0000000000
1   7   9   24   0.0000996400
1   7   10   20   0.0014678854
1   7   10   25   0.0004090256
1   7   11   16   -0.0015762336
1   7   11   18   -0.0004709488
1   7   11   21   -0.0022366471
1   7   11   22   -0.0000000000
1   7   11   23   -0.0009812226
1   7   11   26   -0.0020735590
1   7   11   27   0.0000000000
1   7   11   28   -0.0006663547
1   7   11   30   0.0000000000
1   7   12   17   0.0006416057
1   7   12   19   0.0002675671
1   7   12   22   -0.0013127942
1   7   12   27   0.0002410988
1   7   12   28   -0.0000000000
1   7   12   29   0.0002649629
1   7   12   30   0.0006253161
1   7   13   16   0.0008104712
1   7   13   17   -0.0000000000
1   7   13   18   -0.0009083458
1   7   13   19   -0.0000000000
1   7   13   21   0.0017856037
1   7   13   22   0.0000000000
1   7   13   23   0.0006054845
1   7   13   26   -0.0003216816
1   7   13   27   -0.0000000000
1   7   13   28   0.0006409884
1   7   13   30   -0.0000000000
1   7   14   16   0.0000000000
1   7   14   17   0.0006681613
1   7   14   18   -0.0000000000
1   7   14   19   0.0002388067
1   7   14   21   0.0000000000
1   7   14   22   -0.0013419959
1   7   14   23   0.0000000000
1   7   14   26   0.0000000000
1   7   14   27   0.0002426742
1   7   14   29   0.0003279305
